,aroon_down,aroon_up,aroon_bandwidth,bbands_lower,bbands_upper,bbandwidth_100,cci,macd_hist,obv,rsi,sma_100,sma_20,stoch,today_value,crudeoil_open,dollar_open,fedfund_open,gold_open,treasury_3_month,treasury_10_year,tomorrow_value
2019-12-18,56.0,100.0,44.0,282.9885,294.1955,3.8833370294394833,124.1466,0.3066,125492409.0,72.0537,276.1883,288.592,86.2072,292.1655,56.49,96.505,98.66,1480.4,1.56,1.92,293.3796
2019-12-17,60.0,100.0,40.0,283.0579,293.4151,3.593299252523528,155.5499,0.2931,122198390.0,72.0159,276.0213,288.2365,82.9165,292.1456,56.28,96.465,98.66,1480.6,1.56,1.89,292.1655
2019-12-16,0.0,100.0,100.0,283.2851,292.4929,3.198385488851613,194.4715,0.2138,118540162.0,71.9101,275.8595,287.889,79.8744,292.0859,56.23,96.235,98.695,1480.0,1.57,1.89,292.1456
2019-12-13,4.0,100.0,96.0,283.6852,291.3858,2.6781388732869535,153.7928,0.0415,115398404.0,68.0612,275.6786,287.5355,77.3224,290.0358,55.85,96.42,98.615,1470.8,1.57,1.82,292.0859
2019-12-12,0.0,100.0,100.0,283.5254,290.8326,2.544475745092789,134.9913,-0.0604,111878801.0,67.8427,275.5318,287.1790000000001,77.4741,289.9263,55.39,96.64,98.725,1479.2,1.56,1.9,290.0358
2019-12-11,4.0,64.0,60.0,283.4229,290.1951,2.3612229741744497,62.1596,-0.2399,108606960.0,62.3155,275.3734,286.809,78.4507,287.3986,55.53,97.065,98.69,1468.5,1.57,1.79,289.9263
2019-12-10,8.0,68.0,60.0,283.0626,290.0574,2.440954773869346,47.2059,-0.2809,106781788.0,60.4517,275.2216,286.56,76.2579,286.6522,55.11,97.2,98.715,1466.3,1.56,1.85,287.3986
2019-12-09,0.0,72.0,72.0,282.6116,290.0294,2.5907331120195725,79.9679,-0.2808,108604514.0,61.4679,275.0707,286.3205,65.2846,286.9209,55.03,97.235,98.71,1464.1,1.54,1.83,286.6522
2019-12-06,0.0,76.0,76.0,282.3492,289.8408,2.618570754469671,115.3098,-0.3198,110083419.0,64.7629,274.9318,286.095,49.1433,287.7966,54.81,96.955,98.745,1481.0,1.53,1.84,286.9209
2019-12-05,4.0,80.0,76.0,282.113,289.469,2.5739089054588824,-14.6658,-0.4812,108473937.0,58.8237,274.7741,285.791,39.2252,285.2589,55.01,97.12,98.76,1480.0,1.54,1.8,287.7966
2019-12-04,8.0,84.0,76.0,281.5785,289.5505,2.7916635296053887,-19.2183,-0.4763,106876976.0,57.4393,274.6605,285.5645,44.4761,284.7315,53.54,97.25,98.785,1483.2,1.55,1.77,285.2589
2019-12-03,12.0,88.0,76.0,281.0844,289.6296,2.994564703161291,-113.0264,-0.4138,103688178.0,52.3282,274.5612,285.357,64.4293,282.9203,53.6,97.44,98.725,1468.0,1.57,1.72,284.7315
2019-12-02,0.0,92.0,92.0,280.805,289.712,3.1224310581455,38.067,-0.1352,106934886.0,59.6776,274.4794,285.2585,83.8644,284.9206,53.69,97.785,98.72,1470.3,1.6,1.83,282.9203
2019-11-29,0.0,96.0,96.0,280.2442,289.7628,3.339818633806269,120.7137,0.0736,111352066.0,70.4143,274.36400000000003,285.0035,90.1623,287.2593,54.97,97.91,98.735,1461.2,1.59,1.78,284.9206
2019-11-27,0.0,100.0,100.0,279.2735,289.7235,3.67313008680186,167.9779,0.1184,113340526.0,76.4466,274.2196,284.4985,80.5822,288.3639,54.83,97.85,98.77,1468.3,1.62,1.77,287.2593
2019-11-26,4.0,100.0,96.0,278.9038,289.0622,3.577115531563519,152.0206,0.0243,111709192.0,73.903,274.0514,283.983,64.0371,287.0105,54.47,97.78,98.755,1461.3,1.6,1.74,288.3639
2019-11-25,8.0,100.0,92.0,278.2914,288.6816,3.665148075834297,136.3688,-0.0316,109912643.0,72.7371,273.8934,283.4865,56.1598,286.4333,54.45,97.775,98.77,1467.5,1.61,1.76,287.0105
2019-11-22,0.0,88.0,88.0,277.8251,288.2309,3.676597368458244,58.661,-0.1012,107867553.0,67.7281,273.7549,283.028,61.7334,284.2737,54.5,97.425,98.79,1470.9,1.58,1.77,286.4333
2019-11-21,4.0,92.0,88.0,276.9296,288.2654,4.011288139491682,47.8981,-0.0251,106600636.0,66.0464,273.6416,282.5975,76.558,283.6467,53.66,97.28,98.84,1481.3,1.58,1.77,284.2737
2019-11-20,8.0,96.0,88.0,275.8867,288.3953,4.433457030350073,74.9869,0.1199,108910520.0,68.3566,273.5137,282.141,88.1138,284.0846,52.37,97.365,98.815,1481.4,1.57,1.73,283.6467
2019-11-19,0.0,100.0,100.0,274.94,288.34,4.757846896747613,140.8245,0.2538,111728553.0,73.8635,273.3735,281.64,90.3313,285.0898,53.52,97.33,98.74,1477.9,1.57,1.79,284.0846
2019-11-18,0.0,100.0,100.0,274.073,288.023,4.9635649426432655,147.722,0.301,115026010.0,74.6374,273.2003,281.048,85.0866,285.2291,54.44,97.39,98.725,1475.1,1.57,1.81,285.0898
2019-11-15,4.0,100.0,96.0,273.6282,287.3668,4.897940266847305,146.8131,0.2955,112737769.0,74.3161,273.0109,280.4975,77.8504,285.0499,54.04,97.585,98.72,1478.7,1.57,1.84,285.2291
2019-11-14,0.0,92.0,92.0,272.9472,286.7738,4.940532872627608,83.8295,0.2401,110845261.0,70.1856,272.8278,279.8605,74.9062,282.9402,54.33,97.84,98.705,1471.7,1.57,1.82,285.0499
2019-11-13,0.0,96.0,96.0,272.4567,286.3153,4.960377399010675,80.5134,0.3084,108600735.0,69.3655,272.6685,279.386,74.6987,282.562,53.92,97.745,98.645,1463.8,1.57,1.88,282.9402
2019-11-12,0.0,100.0,100.0,271.926,285.861,4.996530933851094,95.44,0.3919,106875316.0,69.1165,272.5398,278.8935,78.2922,282.4426,53.99,97.69,98.635,1463.0,1.59,1.92,282.562
2019-11-11,4.0,92.0,88.0,271.5955,285.2615,4.9082619056598,82.1704,0.4673,105148954.0,67.9886,272.4158,278.4285,79.9147,281.8853,53.39,97.78,98.66,1466.7,1.57,1.93,282.4426
2019-11-08,8.0,96.0,88.0,270.8369,284.8831,5.055135679838767,102.0944,0.5699,106274715.0,70.331,272.3006,277.86,83.3691,282.4326,52.89,97.55,98.66,1476.0,1.55,1.94,281.8853
2019-11-07,0.0,100.0,100.0,270.3865,284.1665,4.969768444134275,126.8858,0.5959,103945133.0,69.0905,272.1548,277.2765,86.348,281.7459,53.72,97.395,98.725,1498.8,1.56,1.92,282.4326
2019-11-06,4.0,92.0,88.0,269.4159,283.7581,5.18542086215187,103.7234,0.6257,101251820.0,67.2474,272.0088,276.587,88.5513,280.7508,53.94,97.34,98.705,1491.2,1.56,1.81,281.7459
2019-11-05,8.0,96.0,88.0,268.1296,283.5834,5.602115592708529,128.0269,0.6929,99794246.0,66.9731,271.8463,275.8565,89.5407,280.6015,54.07,96.97,98.725,1518.7,1.56,1.86,280.7508
2019-11-04,12.0,100.0,88.0,266.4759,283.5441,6.206392494818367,161.4656,0.73,102796657.0,68.2469,271.6829,275.01,87.0269,280.9597,54.1,96.595,98.765,1522.9,1.53,1.79,280.6015
2019-11-01,16.0,100.0,84.0,266.1598,282.5492,5.9738039653076465,152.5105,0.6664,98998856.0,66.4009,271.5199,274.3545,87.4871,279.8451,51.85,96.63,98.82,1521.4,1.52,1.73,280.9597
2019-10-31,20.0,96.0,76.0,266.0811,281.5449,5.647576995979005,97.9637,0.6009,96630982.0,61.4808,271.3563,273.813,86.323,277.2079,52.65,96.815,98.73,1504.7,1.54,1.69,279.8451
2019-10-30,24.0,100.0,76.0,265.2135,281.2245,5.860134178076915,138.6125,0.696,98943667.0,64.4575,271.2242,273.219,87.3449,278.1036,53.22,96.985,98.705,1496.9,1.62,1.78,277.2079
2019-10-29,28.0,100.0,72.0,264.1642,280.7858,6.100229378842095,149.0122,0.68,97125539.0,62.628,271.0836,272.475,84.5935,277.1283,52.74,97.1,98.695,1494.3,1.63,1.84,278.1036
2019-10-28,32.0,100.0,68.0,264.078,279.957,5.837492073120303,151.2609,0.6823,98725140.0,63.1827,270.9404,272.0175,79.2071,277.3074,53.63,97.225,98.72,1507.4,1.65,1.85,277.1283
2019-10-25,36.0,100.0,64.0,264.3707,279.0593,5.405884842574024,94.1127,0.5978,96971983.0,60.2593,270.7693,271.715,75.036,275.7052,53.08,96.95,98.79,1506.4,1.66,1.8,277.3074
2019-10-24,40.0,0.0,-40.0,264.4996,278.3524,5.103711508845874,83.1371,0.5666,91470780.0,58.0501,270.5974,271.426,70.2098,274.5607,53.27,96.81,98.78,1495.1,1.67,1.77,275.7052
2019-10-23,44.0,4.0,-40.0,264.6177,277.9243,4.905279222622397,73.5345,0.5784,89248714.0,57.1853,270.4152,271.271,72.1045,274.1129,51.69,96.83,98.795,1491.1,1.65,1.77,274.5607
2019-10-22,48.0,8.0,-40.0,264.67,277.791,4.837582793970435,82.8232,0.5887,87951882.0,55.6573,270.182,271.2305,71.4288,273.3068,51.76,96.62,98.74,1487.5,1.65,1.78,274.1129
2019-10-21,52.0,12.0,-40.0,264.7206,277.5734,4.740159396932293,96.0219,0.6344,89554330.0,57.9573,269.9644,271.147,77.6551,274.2721,51.65,96.65,98.77,1495.6,1.67,1.8,273.3068
2019-10-18,56.0,16.0,-40.0,264.7507,277.5073,4.704992826293016,80.1419,0.5536,86536009.0,54.521,269.7714,271.129,80.3095,272.3713,51.75,96.94,98.755,1495.6,1.66,1.76,274.2721
2019-10-17,60.0,20.0,-40.0,264.6834,277.7106,4.803592960099114,110.4286,0.5735,87690904.0,57.0842,269.5904,271.197,83.1351,273.4959,51.35,97.335,98.785,1494.2,1.66,1.76,272.3713
2019-10-16,64.0,24.0,-40.0,264.54,278.025,4.970832987752603,107.2631,0.4447,84588590.0,55.8212,269.4158,271.2825,79.1995,272.7595,51.36,97.46,98.755,1484.8,1.66,1.75,273.4959
2019-10-15,68.0,28.0,-40.0,264.3748,278.4412,5.182750692684072,116.0903,0.2819,85741487.0,56.7219,269.2719,271.408,74.5014,273.1874,51.94,97.735,98.785,1497.7,1.67,1.77,272.7595
2019-10-14,72.0,32.0,-40.0,264.2558,278.7512,5.338936698790241,57.2186,-0.0389,83949833.0,52.3558,269.1192,271.5035,66.3151,270.5701,52.0,97.735,98.75,1492.0,1.6749999999999998,1.7650000000000001,273.1874
2019-10-11,76.0,36.0,-40.0,264.2211,279.1649,5.5002521228003705,72.9312,-0.2725,85165541.0,52.8262,269.0235,271.693,59.4633,270.8188,52.0,97.965,98.845,1498.3,1.68,1.76,270.5701
2019-10-10,80.0,40.0,-40.0,264.1457,279.6853,5.714863624912889,-29.5673,-0.6407,82354544.0,47.9447,268.9325,271.9155,54.8872,268.0224,50.68,98.325,98.975,1510.8,1.68,1.67,270.8188
2019-10-09,84.0,44.0,-40.0,264.3467,280.2173,5.828736383602304,-70.9314,-0.8823,80799260.0,44.49,268.8475,272.282,55.3265,266.2112,50.73,98.27,98.985,1510.9,1.69,1.59,268.0224
2019-10-08,88.0,48.0,-40.0,264.9381,280.4599,5.691916728700869,-114.4075,-1.0049,78874905.0,39.4237,268.7986,272.699,51.3761,263.7531,50.82,98.145,98.94,1498.7,1.72,1.54,266.2112
2019-10-07,92.0,52.0,-40.0,266.2156,280.0664,5.070934059698102,-51.6018,-0.8645,81034044.0,46.0246,268.7904,273.141,39.0926,267.9129,50.47,98.115,99.025,1518.6,1.75,1.56,263.7531
2019-10-04,96.0,56.0,-40.0,266.6816,280.0604,4.894008508583578,-69.503,-0.9967,82861011.0,48.0999,268.7164,273.371,26.363000000000003,269.0673,50.18,98.075,99.03,1511.6,1.71,1.52,267.9129
2019-10-03,100.0,60.0,-40.0,266.9927,280.0863,4.786730984007788,-187.0682,-1.2487,80952190.0,40.1001,268.6154,273.5395,20.1603,265.3852,50.29,98.27,98.945,1505.6,1.7,1.54,269.0673
2019-10-02,4.0,64.0,60.0,268.1427,279.6233,4.19178992489493,-249.3108,-1.1794,77959545.0,34.8039,268.529,273.883,23.5554,263.2953,51.14,98.33,98.86,1485.4,1.79,1.6,265.3852
2019-10-01,8.0,68.0,60.0,269.8664,278.4396,3.127158922207667,-142.4283,-0.7707,82425173.0,42.7412,268.5285,274.153,27.55,268.0224,51.3,98.665,98.8,1478.0,1.82,1.65,263.2953
2019-09-30,0.0,72.0,72.0,269.187,278.898,3.543610936259891,-107.7547,-0.5566,86153671.0,50.0619,268.4682,274.0425,29.675,271.2866,52.17,98.3,98.77,1501.7,1.88,1.68,268.0224
2019-09-27,4.0,76.0,72.0,268.4546,279.2264,3.933603685356981,-164.8412,-0.5238,83417495.0,46.5917,268.3832,273.8405,30.5028,269.953,52.32,98.325,98.765,1511.8,1.8,1.69,271.2866
2019-09-26,8.0,80.0,72.0,267.9793,279.4467,4.189570827837917,-144.8916,-0.3147,86255925.0,50.2974,268.3168,273.713,28.4078,271.4757,52.45,98.06,98.77,1510.9,1.83,1.7,269.953
2019-09-25,12.0,84.0,72.0,266.5226,280.1504,4.985722726383041,-87.7257,-0.1361,88611123.0,55.2002,268.2787,273.3365,32.5042,272.0091,52.6,97.55,98.83,1539.8,1.89,1.73,271.4757
2019-09-24,16.0,88.0,72.0,264.7473,280.8057,5.887017393360501,-76.6814,-0.0535,85961599.0,51.1904,268.2329,272.7765,39.7466,270.3551,53.78,97.865,98.75,1529.8,1.92,1.64,272.0091
2019-09-23,20.0,92.0,72.0,263.5464,281.1576,6.466337680648571,14.8776,0.2256,91087787.0,57.7424,268.1784,272.35200000000003,53.7455,272.6133,54.08,97.64,98.715,1521.5,1.94,1.72,270.3551
2019-09-20,0.0,96.0,96.0,261.8068,281.5302,7.260098244735761,44.9473,0.3927,89799439.0,57.3197,268.1064,271.6685,62.3271,272.4251,54.3,97.37,98.735,1506.8,1.91,1.74,272.6133
2019-09-19,4.0,100.0,96.0,261.5109,281.1671,7.244148463729878,87.6022,0.6194,91861435.0,61.7906,268.056,271.339,68.0525,273.891,53.67,97.56,98.725,1502.0,1.93,1.79,272.4251
2019-09-18,8.0,84.0,76.0,261.3431,280.5379,7.084507484115512,63.8945,0.7536,94130686.0,61.9725,267.9891,270.9405,70.6765,273.9504,53.78,97.345,98.725,1509.7,1.95,1.8,273.891
2019-09-17,12.0,88.0,76.0,261.007,279.855,6.96961516985849,73.8064,0.8758,92100478.0,61.6756,267.9182,270.431,77.2848,273.782,54.93,97.7,98.745,1506.5,1.99,1.81,273.9504
2019-09-16,16.0,92.0,76.0,260.9914,279.0766,6.697378848589432,71.9585,0.9948,90309607.0,60.4092,267.8367,270.034,83.3002,273.0392,55.46,97.28,98.72,1513.1,1.99,1.84,273.782
2019-09-13,20.0,96.0,76.0,260.6256,278.3974,6.594078545813438,100.054,1.1611,91741900.0,62.7452,267.7637,269.5115,88.82600000000002,273.9405,52.69,97.99,98.725,1506.5,1.96,1.9,273.0392
2019-09-12,0.0,100.0,100.0,259.8161,277.6879,6.649922605227126,118.0636,1.2234,94034108.0,62.919,267.6869,268.752,89.4729,274.0098,53.31,98.18,98.775,1504.9,1.95,1.79,273.9405
2019-09-11,4.0,100.0,96.0,259.1061,276.7899,6.599713377222432,114.1821,1.2045,91603085.0,61.7816,267.5864,267.948,90.0377,273.2076,54.4,97.87,98.795,1493.9,1.96,1.75,274.0098
2019-09-10,0.0,96.0,96.0,259.5077,275.6703,6.040083859949399,102.1213,1.1514,89527490.0,58.937,267.4914,267.589,90.5828,271.2564,54.5,97.87,98.915,1507.0,1.95,1.72,273.2076
2019-09-09,4.0,100.0,96.0,259.4824,274.7646,5.721024170467963,138.0162,1.1709,87657535.0,58.8503,267.4111,267.1235,88.704,271.197,53.84,97.975,98.96,1516.4,1.96,1.63,271.2564
2019-09-06,8.0,0.0,-8.0,259.8082,273.8278,5.254368146077111,165.1536,1.1142,85499061.0,58.7561,267.3379,266.818,85.1972,271.1276,53.2,97.975,98.945,1525.6,1.96,1.55,271.197
2019-09-05,12.0,0.0,-12.0,260.2141,273.0059,4.797944563219692,191.2666,0.946,83608174.0,58.5039,267.2635,266.61,80.4707,270.9295,53.0,97.945,99.065,1561.4,1.97,1.57,271.1276
2019-09-04,16.0,4.0,-12.0,260.5478,271.7602,4.212749009971671,95.7567,0.6312,81851527.0,53.8247,267.1929,266.154,77.8622,267.3936,52.22,98.49,99.07,1556.0,1.97,1.47,270.9295
2019-09-03,20.0,0.0,-20.0,260.4896,271.2454,4.045549004673389,33.2961,0.4555,80365026.0,49.5966,267.1401,265.8675,71.0732,264.5609,51.69,98.635,98.995,1535.2,1.98,1.47,267.3936
2019-08-30,24.0,0.0,-24.0,259.7941,271.3179,4.33949901339077,85.4673,0.4463,83733584.0,51.8309,267.1164,265.556,58.9417,265.9971,52.79,97.95,98.945,1536.9,1.99,1.5,264.5609
2019-08-29,28.0,4.0,-24.0,259.7796,271.3574,4.3596284950963575,85.56700000000002,0.2665,87943154.0,52.0562,267.0691,265.5685,43.7243,266.1456,52.61,97.725,99.0,1549.4,1.99,1.5,265.9971
2019-08-28,32.0,8.0,-24.0,259.594,271.751,4.57593465639085,-36.9352,-0.0366,84813752.0,47.1505,267.0344,265.6725,38.9612,262.7285,53.0,97.51,98.98,1545.6,1.99,1.47,266.1456
2019-08-27,36.0,12.0,-24.0,259.1877,272.9393,5.168540592753232,-46.4926,-0.1436,81689067.0,44.3457,267.0319,266.0635,45.5107,260.916,52.16,97.53,98.945,1531.0,1.98,1.49,262.7285
2019-08-26,40.0,16.0,-24.0,258.6498,274.7552,6.038713547866996,-53.4533,-0.0937,84180245.0,45.6235,267.035,266.7025,62.9061,261.9461,52.36,97.1,99.04,1537.5,2.01,1.54,260.916
2019-08-23,44.0,20.0,-24.0,258.2112,276.4348,6.817071482812918,-56.1074,-0.0904,81907974.0,41.2395,267.0214,267.323,75.7905,259.0738,51.35,97.69,98.855,1502.3,1.97,1.52,261.9461
2019-08-22,48.0,24.0,-24.0,258.4112,277.8158,7.237457270894609,77.1242,0.239,86124337.0,50.1615,267.0319,268.1135,78.6413,265.898,53.37,97.775,98.905,1506.8,2.0,1.62,259.0738
2019-08-21,52.0,28.0,-24.0,258.2494,278.6726,7.607510960623706,78.7687,0.064,88010922.0,50.3082,266.9726,268.461,69.038,265.9971,52.99,97.685,98.935,1511.6,1.97,1.59,265.898
2019-08-20,56.0,32.0,-24.0,258.03700000000003,279.705,8.058883256282733,31.3954,-0.2088,85998505.0,47.2121,266.8824,268.871,49.3304,263.8577,53.09,97.83,98.915,1501.1,1.94,1.55,265.9971
2019-08-19,60.0,36.0,-24.0,258.1859,280.4651,8.27222078859967,45.0357,-0.3845,87863649.0,49.9976,266.7972,269.3255,37.6036,265.9178,52.4,97.645,98.975,1516.9,1.94,1.6,263.8577
2019-08-16,64.0,40.0,-24.0,258.2968,280.8672,8.372369075086619,-36.326,-0.8232,86432248.0,45.3008,266.6812,269.582,35.4861,262.6889,52.15,97.645,98.975,1527.9,1.87,1.55,265.9178
2019-08-15,68.0,44.0,-24.0,258.7782,281.1588,8.290078286911235,-102.6122,-1.1024,83998289.0,39.0557,266.6098,269.9685,51.9895,258.8955,52.43,97.42,98.89,1521.1,1.91,1.52,262.6889
2019-08-14,72.0,48.0,-24.0,260.0007,281.2393,7.848126524277592,-97.0194,-1.0487,81214968.0,37.6403,266.5582,270.62,65.8459,258.0833,53.45,97.215,98.805,1506.6,1.96,1.59,258.8955
2019-08-13,76.0,52.0,-24.0,261.6456,280.8794,7.090475093313663,-30.3202,-0.7789,85569747.0,47.8136,266.5171,271.2625,73.7573,266.0961,52.13,96.87,98.91,1515.4,2.0,1.68,258.0833
