,aroon_Aroon Down,aroon_Aroon Up,bbands_close_Real Lower Band,bbands_close_Real Middle Band,bbands_close_Real Upper Band,cci_CCI,macd_close_MACD_Hist,obv_OBV,rsi_close_RSI,sma_close_100_SMA,sma_close_20_SMA,stoch_SlowD,stock_time_series_adjusted_adjusted_close,crudeoil_Open,dollar_Open,fedfund_Open,gold_Open,treasury_3 MO,treasury_10 YR
2013-04-15,76.0,92.0,70.4359,71.5565,72.6771,-29.9857,-0.0264,27756919.0,47.7202,68.3645,71.5565,80.2694,124.1501,87.55,82.555,99.83,1481.0,0.06,1.72
2013-04-12,80.0,96.0,70.4873,71.586,72.6847,141.8727,0.076,29099536.0,65.5327,68.2777,71.586,88.5722,127.0499,91.76,82.475,99.83,1560.3,0.06,1.75
2013-04-11,84.0,100.0,70.5669,71.5375,72.5081,222.0798,0.0572,31581896.0,67.7977,68.1711,71.5375,79.9682,127.3294,92.63,82.63,99.835,1559.0,0.07,1.82
2013-04-10,0.0,100.0,70.7147,71.462,72.2093,228.8142,-0.0005,30681182.0,66.1691,68.0653,71.462,66.1536,126.9102,92.09,82.51,99.83,1585.0,0.07,1.84
2013-04-09,0.0,76.0,70.8797,71.3935,71.9073,114.9518,-0.0743,28460854.0,59.1316,67.9696,71.3935,48.389,125.3729,92.1,82.985,99.83,1572.4,0.06,1.78
2013-04-08,0.0,80.0,70.8923,71.377,71.8617,-5.9885,-0.1026,27722777.0,56.6581,67.885,71.377,40.7581,124.9187,91.47,82.99,99.83,1580.8,0.07,1.76
2013-04-05,4.0,84.0,70.8725,71.3605,71.8485,-143.5594,-0.1193,27090910.0,52.1026,67.8021,71.3605,40.0363,124.1501,91.52,83.15,99.825,1554.0,0.07,1.72
2013-04-04,0.0,88.0,70.8388,71.352,71.8652,-24.9919,-0.0981,28375195.0,55.5529,67.7229,71.352,53.3833,124.6392,92.73,83.305,99.825,1557.7,0.07,1.78
2013-04-03,0.0,92.0,70.7505,71.32300000000002,71.8955,-32.2024,-0.0921,26425269.0,52.6408,67.6494,71.32300000000002,65.1147,124.1501,94.46,83.43,99.815,1576.4,0.06,1.83
2013-04-02,4.0,96.0,70.664,71.3015,71.939,117.2826,-0.054000000000000006,27969002.0,62.4034,67.593,71.3015,78.1337,125.4078,94.94,83.05,99.815,1600.1,0.07,1.88
2013-04-01,8.0,100.0,70.4101,71.214,72.0179,82.7788,-0.0701,26370341.0,58.9685,67.5246,71.214,77.4323,124.7964,94.16,83.3,99.815,1598.1,0.08,1.86
2013-03-28,12.0,100.0,70.0789,71.1245,72.1701,102.5428,-0.0625,27606627.0,61.9728,67.4582,71.1245,70.0329,125.1458,94.04,83.605,99.82,1605.6,0.07,1.87
2013-03-27,16.0,64.0,69.7748,71.016,72.2572,6.8533,-0.0742,26873829.0,60.477,67.3957,71.016,53.9596,124.8663,93.41,83.335,99.805,1601.0,0.09,1.87
2013-03-26,20.0,68.0,69.5447,70.9195,72.2943,47.3258,-0.0791,27659684.0,61.0343,67.3272,70.9195,49.2309,124.9362,92.72,83.22,99.8,1606.5,0.07,1.92
2013-03-25,24.0,72.0,69.1251,70.778,72.4309,-49.6096,-0.0934,24910676.0,56.0512,67.2589,70.778,47.729,124.0103,91.98,82.47,99.8,1611.4,0.08,1.93
2013-03-22,28.0,76.0,68.6537,70.64,72.6263,-32.2235,-0.0638,26141454.0,58.6808,67.1964,70.64,52.5976,124.3597,90.99,83.005,99.805,1616.4,0.07,1.93
2013-03-21,32.0,80.0,68.5328,70.5575,72.5822,-0.3195,-0.0412,25267355.0,56.9947,67.1301,70.5575,51.9747,123.4643,91.2,83.105,99.815,1607.5,0.07,1.95
2013-03-20,36.0,84.0,68.3235,70.454,72.5845,80.5997,0.0066,25891057.0,64.9213,67.067,70.454,58.9316,124.4727,91.32,83.24,99.81,1614.0,0.07,1.96
2013-03-19,40.0,88.0,68.2149,70.33800000000001,72.4611,28.4446,0.0133,23331227.0,60.6254,67.0077,70.33800000000001,70.2119,123.6208,91.0,82.935,99.82,1606.1,0.07,1.92
2013-03-18,44.0,92.0,68.1948,70.29,72.3852,52.9921,0.0626,24538998.0,63.1155,66.9529,70.29,81.1485,123.9164,91.15,82.87,99.82,1597.4,0.07,1.96
2013-03-15,48.0,96.0,68.1476,70.2095,72.2714,87.4524,0.1088,26178009.0,69.1674,66.9078,70.2095,86.2224,124.5944,91.95,82.785,99.805,1591.4,0.09,2.01
2013-03-14,52.0,100.0,68.1554,70.11399999999999,72.0726,100.5191,0.1239,27713640.0,70.7834,66.8605,70.11399999999999,87.3837,124.7683,91.55,83.16,99.81,1588.5,0.1,2.04
2013-03-13,56.0,100.0,68.1939,70.0085,71.8231,87.9258,0.1182,26372711.0,68.1584,66.8091,70.0085,91.1038,124.1076,91.65,82.825,99.815,1593.7,0.09,2.04
2013-03-12,60.0,100.0,68.2103,69.919,71.6277,99.6,0.1289,25459168.0,67.4436,66.7548,69.919,93.7977,123.9337,92.0,82.915,99.815,1582.4,0.1,2.03
2013-03-11,64.0,100.0,68.2304,69.829,71.4276,125.8976,0.13699999999999998,26436251.0,69.7705,66.696,69.829,94.8506,124.2119,90.62,83.02,99.81,1578.9,0.1,2.07
2013-03-08,68.0,100.0,68.3114,69.7325,71.1536,134.1569,0.114,25716239.0,68.1103,66.6379,69.7325,94.1309,123.7599,90.9,82.335,99.815,1579.3,0.1,2.06
2013-03-07,72.0,100.0,68.3529,69.63,70.9071,149.5645,0.0869,24287571.0,66.2572,66.582,69.63,92.9239,123.273,90.57,82.83,99.82,1585.5,0.1,2.0
2013-03-06,76.0,100.0,68.3998,69.546,70.6922,179.7838,0.0577,23378980.0,65.3901,66.5334,69.546,90.0782,123.047,89.96,82.235,99.83,1578.3,0.1,1.95
2013-03-05,80.0,100.0,68.4565,69.4655,70.4745,199.734,0.0127,19610423.0,64.5441,66.4926,69.4655,84.2413,122.821,90.96,82.405,99.83,1575.7,0.08,1.9
2013-03-04,84.0,64.0,68.4095,69.3565,70.3035,86.1081,-0.0534,18578031.0,60.395,66.4551,69.3565,73.6238,121.7778,90.42,82.6,99.835,1580.8,0.11,1.88
2013-03-01,88.0,68.0,68.4209,69.3155,70.2101,6.7874,-0.0999,17505008.0,57.385,66.4238,69.3155,57.0584,121.0997,90.7,82.2,99.83,1581.4,0.11,1.86
2013-02-28,92.0,72.0,68.3228,69.26100000000001,70.1992,44.2788,-0.1327,14424071.0,55.9503,66.3913,69.26100000000001,41.0157,120.7867,92.52,81.84,99.83,1598.4,0.11,1.89
2013-02-27,0.0,76.0,68.262,69.2235,70.185,-12.603,-0.1627,19277431.0,56.7386,66.3579,69.2235,29.7721,120.9258,92.5,82.15,99.83,1615.1,0.11,1.91
2013-02-26,0.0,80.0,68.2411,69.1955,70.1499,-164.1144,-0.2127,17710682.0,49.658,66.3227,69.1955,26.5664,119.4305,93.13,82.16,99.83,1592.7,0.14,1.88
2013-02-25,0.0,84.0,68.2442,69.1965,70.1488,-135.1781,-0.1953,14567928.0,45.2034,66.2951,69.1965,29.5614,118.6307,93.0,81.89,99.82,1579.7,0.12,1.88
2013-02-22,0.0,88.0,68.3585,69.2245,70.0905,1.1043,-0.1132,16694656.0,59.0117,66.275,69.2245,38.346,120.9084,92.75,81.565,99.815,1577.0,0.13,1.97
2013-02-21,0.0,92.0,68.24600000000001,69.168,70.09,-94.9422,-0.1159,13990006.0,52.8915,66.2354,69.168,56.056,119.8652,94.27,81.35,99.8,1564.8,0.13,1.99
2013-02-20,4.0,96.0,68.1578,69.1395,70.1212,44.9444,-0.0594,16810694.0,57.2578,66.206,69.1395,68.2273,120.439,94.67,80.635,99.79,1604.2,0.12,2.02
2013-02-19,8.0,100.0,68.04,69.0895,70.139,139.4281,-0.0083,18877044.0,71.76,66.1801,69.0895,78.6051,121.9516,96.5,80.87,99.795,1610.0,0.12,2.03
2013-02-15,0.0,92.0,67.9323,68.9795,70.0267,91.1061,-0.0254,18149527.0,67.5492,66.1498,68.9795,81.3979,121.1171,97.38,80.64,99.8,1634.2,0.1,2.01
2013-02-14,0.0,96.0,67.7558,68.8837,70.0117,112.1771,-0.0125,18812210.0,69.3496,66.1247,68.8837,87.2776,121.2735,97.77,80.31,99.79,1642.5,0.11,2.0
2013-02-13,0.0,100.0,67.5192,68.7627,70.0063,134.1926,-0.0107,18266528.0,68.4829,66.0988,68.7627,89.0754,121.0997,98.06,80.235,99.79,1652.5,0.1,2.05
2013-02-12,4.0,100.0,67.3255,68.6467,69.968,139.0769,-0.0078,16137126.0,67.9784,66.0734,68.6467,88.7055,120.9954,97.86,80.685,99.81,1648.6,0.09,2.02
2013-02-11,8.0,100.0,67.1618,68.5322,69.9027,134.6499,-0.0071,15318034.0,67.0815,66.0493,68.5322,84.5755,120.8041,97.58,80.43,99.805,1667.9,0.09,1.99
2013-02-08,12.0,100.0,67.0376,68.4262,69.8149,149.959,-0.0053,15894177.0,67.5607,66.0283,68.4262,73.6662,120.8563,97.06,80.445,99.815,1671.8,0.07,1.99
2013-02-07,0.0,92.0,66.9439,68.3172,69.6906,77.0948,-0.0159,15012146.0,64.5847,66.0042,68.3172,63.8195,120.1956,96.91,79.955,99.815,1678.0,0.07,1.99
2013-02-06,0.0,96.0,66.7405,68.2027,69.665,103.1363,-0.0037,15972169.0,65.9146,65.9734,68.2027,49.2742,120.352,96.98,79.64,99.8,1673.4,0.07,2.0
2013-02-05,4.0,100.0,66.5398,68.0737,69.6077,104.4375,-0.0042,15140880.0,65.4745,65.9396,68.0737,48.6095,120.2477,97.06,79.865,99.805,1675.5,0.07,2.04
2013-02-04,8.0,96.0,66.419,67.9577,69.4965,40.7144,-0.0096,14307715.0,59.8597,65.9046,67.9577,48.1178,119.0306,97.14,79.31,99.79,1669.1,0.07,2.0
2013-02-01,12.0,100.0,66.3134,67.8857,69.4581,111.2691,0.0428,15390493.0,71.5986,65.8805,67.8857,62.4378,120.352,97.08,79.25,99.8,1665.2,0.06,2.04
